0,1,2
mg.bc.gsvc.dns02.gosuncdn.com,-1.0,-1.0
mip-club-xywy-com.mipcdn.com,-1.0,-1.0
k7.2.591mogu.com.sp.spcdntip.com,-1.0,-1.0
778.sp.spcdntip.com,-1.0,-1.0
354101.stage.tcdnvod.com,-1.0,-1.0
imedia.l3.mporn.com.sds.vikinghostcdn.com,-1.0,-1.0
622375.stage.tcdnvod.com,-1.0,-1.0
527396.vp.tcdnvod.com,-1.0,-1.0
img3x5.ddimg.cn.xdy-cdn.cn,-1.0,-1.0
secaz-fota-dn.samsungdm.com.mccdnglb.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,-1.0,-1.0
cdn.bank.10044.cn.mccdnglb.com,-1.0,-1.0
462821.stage.tcdnvod.com,-1.0,-1.0
a.vimage1.com.mccdnglb.com,-1.0,-1.0
ns1.dns02.gosuncdn.com,1.0,-1.0
470.sp.spcdntip.com,-1.0,-1.0
cdn.sp.spcdntip.com,1.0,-1.0
azure-vod.bestvcdn.com.cn.mccdnglb.com,-1.0,-1.0
ctslb-bgp-oy-cnc.ctripgslb.com,-1.0,-1.0
ns2.dns02.gosuncdn.com,1.0,-1.0
ctslb-jq-bgp-cnc.ctripgslb.com,-1.0,-1.0
ctslb-jq-bgp-cnc.ctripgslb.com,-1.0,1.0
ctslb-oy-bgp-cnc.ctripgslb.com,-1.0,-1.0
ctslb-bgp-oy-cnc.ctripgslb.com,-1.0,-1.0
ctslb-oy-bgp-cnc.ctripgslb.com,-1.0,1.0
mip-qiushibaike-com.mipcdn.com,-1.0,-1.0
573.sp.spcdntip.com,-1.0,-1.0
pcs-video1.c4hcdn.com.gosuncdn.com,-1.0,-1.0
748.sp.spcdntip.com,-1.0,-1.0
k7.2.591mogu.com.sp.spcdntip.com,-1.0,-1.0
